2025-07-17 12:11:59,721 - ClawBackend - INFO - [pattern_alert_worker.py:471] - ✅ Pattern detection completed for BTCUSDT:1m
2025-07-17 12:15:31,717 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 12:15:31,718 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 12:15:31,718 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 12:15:31,719 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 12:15:31,720 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 12:15:33,697 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 12:15:33,699 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 12:15:33,700 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 12:15:33,701 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 12:15:33,701 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 12:15:33,702 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 12:15:35,663 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 12:15:35,664 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 12:15:35,665 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 12:15:35,665 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 12:15:35,666 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 12:15:35,667 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 12:15:37,670 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 12:15:37,671 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 12:15:37,672 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 12:15:37,675 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 12:15:37,675 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 12:15:37,676 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 12:15:39,671 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 12:15:39,672 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 12:15:39,674 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 12:15:39,675 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 12:15:39,749 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 12:15:39,750 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 12:15:41,680 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 12:15:41,680 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 12:15:42,169 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 12:15:42,170 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 12:15:42,280 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 12:15:42,282 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 12:15:43,685 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 12:15:43,686 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 12:15:43,688 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 12:15:43,690 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 12:15:44,277 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 12:15:44,279 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 12:15:45,667 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 12:15:45,671 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 12:15:45,673 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 12:15:45,676 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 12:15:45,678 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 12:15:45,679 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 12:15:47,669 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 12:15:47,671 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 12:15:47,672 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 12:15:47,674 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 12:15:47,675 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 12:15:47,676 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 12:15:49,662 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 12:15:49,665 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 12:15:49,667 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 12:15:49,668 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 12:15:49,669 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 12:15:49,671 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 12:15:51,667 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 12:15:51,669 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 12:15:51,671 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 12:15:51,672 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 12:15:51,675 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 12:15:51,677 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 12:15:53,670 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 12:15:53,672 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 12:15:53,673 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 12:15:53,675 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 12:15:53,676 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 12:15:53,677 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 12:15:54,334 - ClawBackend - INFO - [pattern_alert_worker.py:596] - Health check: 3 listeners alive, 0 restarted. Alive: ['BTCUSDT:15m', 'BTCUSDT:1m', 'BTCUSDT:5m']
2025-07-17 12:15:55,663 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 12:15:55,664 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 12:15:55,665 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 12:15:55,666 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 12:15:55,668 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 12:15:55,669 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 12:15:57,674 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 12:15:57,675 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 12:15:57,675 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 12:15:57,676 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 12:15:57,677 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 12:15:57,677 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 12:15:59,667 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 12:15:59,669 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 12:15:59,670 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 12:15:59,671 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 12:15:59,674 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 12:15:59,675 - ClawBackend - INFO - [pattern_alert_worker.py:548] - 🕯️ Queuing closed candle for BTCUSDT:1m - Close: 118486.37, Time: 1752743700000
2025-07-17 12:15:59,677 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 12:15:59,678 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 12:15:59,683 - ClawBackend - INFO - [pattern_alert_worker.py:570] - 📊 Updated rolling window for BTCUSDT:1m with new closed candle (from queue)
2025-07-17 12:15:59,684 - ClawBackend - INFO - [pattern_alert_worker.py:572] - 🔍 Triggering pattern detection for BTCUSDT:1m after new candle (from queue)
2025-07-17 12:15:59,685 - ClawBackend - INFO - [pattern_alert_worker.py:407] - 🔍 Starting pattern detection for BTCUSDT:1m
2025-07-17 12:15:59,689 - ClawBackend - INFO - [pattern_alert_worker.py:416] - 📊 Found 100 candles in rolling window for BTCUSDT:1m
2025-07-17 12:15:59,691 - ClawBackend - INFO - [pattern_alert_worker.py:420] - [DEBUG] Last candle in rolling window for BTCUSDT:1m: {'open': 118066.24, 'high': 118103.83, 'low': 118050.52, 'close': 118102.7, 'volume': 4.41163, 'timestamp': 1752736500000}
2025-07-17 12:15:59,692 - ClawBackend - INFO - [pattern_alert_worker.py:430] - 📈 OHLCV data prepared for BTCUSDT:1m - Last close: 118102.7
2025-07-17 12:15:59,696 - ClawBackend - INFO - [pattern_alert_worker.py:440] - 🎯 Found 5 active patterns for BTCUSDT:1m: ['Gravestone Doji', 'Standard Doji', 'Bat Bearish', 'Abcd Bullish', 'Bearish Engulfing']
2025-07-17 12:15:59,697 - ClawBackend - INFO - [pattern_alert_worker.py:449] - 🔍 Adding detection task for pattern 'Gravestone Doji' with 1 users
2025-07-17 12:15:59,699 - ClawBackend - INFO - [pattern_alert_worker.py:449] - 🔍 Adding detection task for pattern 'Standard Doji' with 1 users
2025-07-17 12:15:59,700 - ClawBackend - INFO - [pattern_alert_worker.py:449] - 🔍 Adding detection task for pattern 'Bat Bearish' with 1 users
2025-07-17 12:15:59,701 - ClawBackend - INFO - [pattern_alert_worker.py:449] - 🔍 Adding detection task for pattern 'Abcd Bullish' with 1 users
2025-07-17 12:15:59,702 - ClawBackend - INFO - [pattern_alert_worker.py:449] - 🔍 Adding detection task for pattern 'Bearish Engulfing' with 1 users
2025-07-17 12:15:59,703 - ClawBackend - INFO - [pattern_alert_worker.py:457] - 🚀 Running 5 pattern detection tasks for BTCUSDT:1m
2025-07-17 12:15:59,704 - ClawBackend - INFO - [pattern_alert_worker.py:489] - 🎯 Running detector for doji (requested type: gravestone_doji) on BTCUSDT:1m
2025-07-17 12:15:59,705 - ClawBackend - INFO - [pattern_alert_worker.py:495] - ❌ No doji pattern detected for BTCUSDT:1m
2025-07-17 12:15:59,706 - ClawBackend - INFO - [pattern_alert_worker.py:489] - 🎯 Running detector for doji (requested type: standard_doji) on BTCUSDT:1m
2025-07-17 12:15:59,706 - ClawBackend - INFO - [pattern_alert_worker.py:495] - ❌ No doji pattern detected for BTCUSDT:1m
2025-07-17 12:15:59,707 - ClawBackend - INFO - [pattern_alert_worker.py:489] - 🎯 Running detector for bat (requested type: bat_bearish) on BTCUSDT:1m
2025-07-17 12:15:59,708 - ClawBackend - INFO - [pattern_alert_worker.py:495] - ❌ No bat pattern detected for BTCUSDT:1m
2025-07-17 12:15:59,708 - ClawBackend - INFO - [pattern_alert_worker.py:489] - 🎯 Running detector for abcd (requested type: abcd_bullish) on BTCUSDT:1m
2025-07-17 12:15:59,709 - ClawBackend - INFO - [pattern_alert_worker.py:495] - ❌ No abcd pattern detected for BTCUSDT:1m
2025-07-17 12:15:59,711 - ClawBackend - INFO - [pattern_alert_worker.py:489] - 🎯 Running detector for engulfing (requested type: bearish_engulfing) on BTCUSDT:1m
2025-07-17 12:15:59,712 - ClawBackend - WARNING - [pattern_alert_worker.py:467] - ❌ Pattern not found or unexpected result for task 0 on BTCUSDT:1m: {'detected': False}
2025-07-17 12:15:59,713 - ClawBackend - WARNING - [pattern_alert_worker.py:467] - ❌ Pattern not found or unexpected result for task 1 on BTCUSDT:1m: {'detected': False}
2025-07-17 12:15:59,713 - ClawBackend - WARNING - [pattern_alert_worker.py:467] - ❌ Pattern not found or unexpected result for task 2 on BTCUSDT:1m: {'detected': False}
2025-07-17 12:15:59,714 - ClawBackend - WARNING - [pattern_alert_worker.py:467] - ❌ Pattern not found or unexpected result for task 3 on BTCUSDT:1m: {'detected': False}
